Station,StdAggComposite,StdAggNina,StdAggNino,StdAggNeutral
15015020,259.65131664664204,246.71821736466313,139.52430984063264,225.74515607035022
15060050,315.56127410723167,370.071629067976,172.67421860988432,283.5500089117573
15060070,497.2593203829018,419.90284899207825,219.5148786251896,624.1330991640542
15060080,342.7687374622748,393.3197152541933,187.746457175144,305.3474900391398
15060150,369.28901271618145,372.28487747959895,314.5062525755107,319.67543078214754
15065040,164.63215950118777,192.4882516420686,119.31465292227685,138.6056483451064
16050240,645.287242084936,328.732356950757,266.2835490135696,880.0305640092515
16060010,1066.2406202753689,954.8778861382734,1058.3515591367893,1150.480991099963
16070010,1107.000117847873,817.7649066102036,1044.76871732281,1317.8151525254218
16070020,908.4244099848809,1109.2052613092517,557.6939443475238,767.7182891635047
16070030,773.4413557210883,789.631073688243,592.0546222394418,805.4140857162081
16070040,756.909290186003,773.61576923233,775.3694813322729,712.8730400186237
23210020,525.2004595928164,397.2649705265829,515.2436525887833,561.2647254571248
23215050,1070.6870646684276,1321.450721072776,708.887792693116,1001.2799279169418
23215060,377.37311641944723,450.0545619985924,251.07716132671032,348.54663376134965
25020090,554.4645708137886,532.1444892661802,371.0630798905854,447.8247008082528
25020220,375.18342559539275,411.50491366976286,234.41813224934782,378.7801131412655
25020230,545.4492521162822,467.0918296153169,426.6131632552584,390.64125865049226
25020240,636.4172946834618,776.7795119957852,326.4513638702341,506.2653383471947
25020250,431.4911786616417,401.52616153984565,288.94515490911857,348.38495697999934
25020260,800.0013078600507,867.4542846440762,436.40246812067664,549.841443384125
25020270,583.799515342618,584.3448622833292,351.75117801331373,425.43392233497804
25020280,453.1131527070018,529.9432770294928,456.22933106986846,366.3376387331458
25020650,949.6788435256206,409.14961383260373,502.7871058936325,1299.488574159868
25020660,509.56588624233467,620.4204580311563,277.5574970737021,378.47794717424654
25020670,584.0936815239753,622.8493014461201,471.0046851134796,404.86147904657764
25020690,854.2580132317939,932.967011330395,703.5925344583003,807.673409535431
25020870,533.354720199931,709.1788247021107,266.18460272388546,291.10480475756697
25020880,689.0082227090019,798.8474445080233,395.51841364693627,497.1918813980218
25020890,540.4525929590504,572.264427457072,378.50019976931213,361.2794340988637
25020900,433.4768351950892,353.8465124894991,433.82668856169914,410.823500777219
25020920,824.7817366562201,806.3263305735795,523.2678548537513,925.8971390281582
25021040,603.7914135622484,640.1067463061662,471.96413006197736,438.8816721215219
25021090,723.9429159420092,831.6793843753135,474.04744951965534,554.5809089988577
25021200,861.2115324938006,1158.0739338348196,431.47282649084633,515.6414317429267
25021240,607.6211347328068,533.5121296052204,479.0429398100114,618.1868444679187
25021320,735.3119535678884,678.8037157562673,728.3770029740201,721.8340265635438
25021380,605.3386559827152,666.2566091412249,438.0973967131035,356.7360186067501
25021500,239.1551521913746,231.76483371799586,209.27090967538618,216.53343241389118
25021540,606.9466166249746,702.4263647439874,291.97361107019634,465.69820573363756
25021580,386.47077405877815,395.7626338769888,261.97734948363836,304.766683562359
25021590,411.0181404401613,424.6488556281451,288.91030166659453,243.12050601788374
25021620,396.6289809907567,479.6311682298429,220.81021175515272,363.93934888649443
25021630,302.42418158523066,321.4711111772932,242.7956786106955,321.4350960047487
25021640,620.6148414912934,764.3390384961576,295.79292184474195,588.5947241845726
25021650,516.0209501694518,570.7179288227668,362.0498781108236,387.83738412544704
25025090,582.6794107861932,603.15441353246,367.8775142519824,349.5425418835543
25025250,441.8005684397216,470.5690315365891,362.38741960948954,330.75110804259134
