Fecha,15067020,15067080,15067130,15067150,15067170,15067200,15067210,16037040,16047020,16067010,16067020,25027020,25027080,25027320,25027330,25027360,25027390,25027400,25027410,25027420,25027490,25027590,25027620,25027630,25027890,28017050,28017080,28017110,28017120,28017140,28017150,28027020,28027030,28027040,28027050,28027160,28037010,28037020,28037030,28037040,28037060,28037090,28037130,28047010,28047020,28047040,28047050,28047080,29067010,29067040,29067050,29067060,29067070,29067120,29067130,29067150,29067160
1981-01-01,4.445,1.3,,,,,,9.452,90.39,78.58,48.61,3239.0,1.003,227.8,3007.0,2447.0,2367.0,105.1,2577.0,176.7,2597.0,30.77,28.75,2386.0,1.724,6.8,0.656,2.816,,,,0.243,0.811,0.672,2.453,5.23,0.316,0.244,7.252,0.332,0.673,24.71,1.288,10.4,1.14,1.036,7.272,,6.972,0.723,5.845,14.83,11.52,14.0,3.652,10.25,
1981-02-01,5.258,1.02,,,,,,14.77,85.7,150.4,90.69,2679.0,1.198,97.36,2380.0,2307.0,1250.0,58.29,2124.0,20.24,2065.0,12.01,11.25,2528.0,1.834,5.564,0.637,3.164,,,,0.198,0.743,0.551,2.35,3.369,0.139,,4.975,0.358,0.936,7.425,1.222,10.41,1.157,0.852,5.33,,5.748,0.416,2.577,14.3,4.743,13.91,2.907,6.516,
1981-03-01,5.218,0.95,,,,,,19.14,45.04,195.9,101.4,3113.0,1.127,178.9,2871.0,2426.0,2230.0,97.02,2813.0,148.3,2510.0,21.21,25.89,2273.0,2.483,5.774,0.673,3.052,,,,0.285,0.854,0.775,2.665,1.53,0.174,0.394,6.775,0.509,0.844,10.08,1.168,11.97,1.083,0.929,6.795,,6.411,0.411,2.951,16.66,4.797,16.74,4.126,7.065,
1981-04-01,,0.81,,,,,,,,419.4,189.5,3515.0,2.881,267.0,3399.0,2522.0,2558.0,123.7,3630.0,233.0,2907.0,37.52,58.54,2490.0,6.143,22.6,0.62,6.73,,,,2.876,6.844,2.521,12.09,9.476,1.317,1.437,47.12,1.018,3.989,22.27,2.453,19.92,1.143,3.422,25.74,,14.06,1.466,9.143,26.1,10.36,31.02,19.09,18.23,
1981-05-01,,,,,,,,,,528.3,249.9,6655.0,,877.6,6103.0,3344.0,5154.0,238.9,6964.0,698.5,5825.0,158.1,,4242.0,,,0.617,,,,,,,,,,,,,,,162.0,,,1.623,,,,26.9,,19.19,50.17,30.89,,,32.64,
1981-06-01,,,,,,,,21.63,,346.7,155.1,,,,7131.0,3531.0,,257.0,7260.0,775.7,7258.0,154.0,,4122.0,,37.53,0.763,,,,,7.071,,,,,,,,,,157.4,,,,,,,25.56,,17.5,38.35,21.16,28.03,32.8,18.7,
1981-07-01,9.266,2.52,,,,,,17.49,117.1,295.6,100.4,6129.0,5.765,947.2,5447.0,3272.0,5011.0,225.1,5203.0,669.7,5569.0,124.3,126.5,3784.0,,15.92,0.763,12.38,,,,2.673,5.685,4.475,8.88,25.99,2.419,,40.81,2.198,2.345,100.1,4.386,24.78,2.191,4.732,33.39,,17.09,3.341,14.52,30.35,18.2,28.52,14.63,17.45,
1981-08-01,9.377,1.65,,,,,,28.48,121.4,257.4,102.6,3996.0,4.37,413.4,3426.0,2764.0,3181.0,151.5,3333.0,362.2,3376.0,87.9,54.38,2997.0,,21.33,0.603,13.33,,,,1.33,3.39,2.618,7.399,16.22,2.161,,43.48,2.231,1.37,74.4,4.02,26.07,2.297,2.861,24.24,,22.72,3.768,11.06,33.11,18.34,40.08,17.29,22.85,
1981-09-01,11.22,2.8,,,,,,28.81,,335.6,129.0,4863.0,6.42,563.7,4536.0,2901.0,3894.0,163.6,4714.0,511.9,4199.0,99.8,81.45,3437.0,,23.63,4.682,14.69,,,,3.446,7.386,5.84,14.37,,5.247,,69.71,5.1,4.499,121.7,8.26,27.12,2.382,3.888,39.88,,18.93,4.415,13.65,35.51,23.34,,19.56,25.66,
1981-10-01,14.74,2.64,,,,,,29.03,,388.6,149.1,4915.0,,569.7,4556.0,2969.0,4013.0,189.3,4850.0,535.7,4250.0,88.9,83.13,3525.0,,32.41,,,,,,7.775,9.614,6.87,6.4,,,,,5.99,4.753,105.1,,27.08,2.379,4.763,40.06,,31.42,,15.14,42.39,29.71,,24.96,32.35,
