Station,AggComposite,AggNina,AggNino,AggNeutral
15015020,22.299609773764708,22.043647939257134,22.606021682675756,22.297219376574535
15065040,23.068095930652277,22.91910436710807,23.227326645978795,23.07839328940133
23215060,23.842804908604926,23.739236638789198,23.956713321419294,23.847993517863063
25025002,22.915832916458935,22.726284505598684,22.996640235599664,23.00334674038311
25025090,23.525572679788933,23.34357165728255,23.704654848625328,23.547578759532417
25025250,22.448104844139078,22.365612638075284,22.631818724467248,22.395412954984593
25025300,22.96252616942244,22.731877597802058,23.02184855171309,23.092853126415093
25025330,22.85830194773529,22.86704067206044,22.98196556808,22.776418434400906
28015030,23.164406926128862,23.02663317167743,23.392699764131468,23.124397903342196
28015070,22.32547855031006,22.11032662836101,22.562476605626067,22.336033904580137
28025020,20.531320517068643,20.49850528777023,20.661336392745987,20.475566258647998
28025040,18.70939916411127,18.57948520641155,18.895350048533594,18.68958925974743
28025070,23.77254913972466,23.73898201511035,23.96975077093406,23.676279955095918
28025080,21.82889621021814,22.066354347712313,21.66816132535406,21.755625540555954
28025090,22.388607716588627,22.296445836756863,22.522859203313153,22.37312649902435
28025502,23.89173326316905,23.704426823856952,24.175757255191908,23.853439918658275
28035010,23.356364449747474,23.176913010241964,23.58870928632422,23.34397975592678
28035020,22.70661387758698,22.733059846349054,22.883916639483303,22.579162323433295
28035040,24.249068409781394,24.212944393176997,24.281433937476127,24.255379043737786
28035070,23.37781209049107,23.1898182880423,23.618588367357777,23.366444334174403
28045020,21.813659927404153,21.69794071228792,21.92096961204032,21.831656775488216
28045040,23.09350362078619,22.99802334062997,23.239986564054167,23.07294424667969
29065010,21.29796594185945,21.194063238917728,21.232264394874566,21.413157728252568
29065020,22.34557825112592,22.140851101325463,22.286624439058514,22.529464077800775
29065030,21.946316725297386,21.62807489898034,21.93632823151823,22.182262123835855
