Station,StdAggComposite,StdAggNina,StdAggNino,StdAggNeutral
15015020,405.70527009007634,513.3042428903454,252.37440152569863,384.88607095396304
15060050,370.70308729692965,370.071629067976,244.10988620999058,370.6373560142078
15060070,733.8344597012763,629.7017926703938,499.6493632356777,904.8255990553553
15060080,357.1857103907113,431.938034640654,187.746457175144,305.3474900391398
15060150,369.28901271618145,372.28487747959895,314.5062525755107,319.67543078214754
15065040,384.1354356487072,392.90274143962046,347.3948625778087,400.50047367233503
16050240,1218.5994584424138,946.7207841158463,892.7365894718431,1498.081777493747
16060010,1066.2406202753689,954.8778861382734,1058.3515591367893,1150.480991099963
16070010,1894.5661350553912,1889.3968987551666,1725.2869958884573,2085.292623601242
16070020,2235.540262009656,2599.0553930028955,2218.3831417580604,2069.226602387023
16070030,2234.6559075935215,2398.633505208266,1979.7336044391059,2348.055686421416
16070040,1207.894809378138,1306.1700055250592,1537.6863706703828,835.2280349458326
23210020,1046.6242338386323,989.5588693440304,915.593940863227,1159.045668865701
23215050,1271.6415272774916,1472.206454524497,845.6690606743387,1336.5510072815625
23215060,758.17293946197,805.6187173175086,791.1800558199585,747.0841154704304
25020090,558.0615542304491,547.1016026203392,382.7037674708254,454.08807145088815
25020220,371.1190618626541,411.50491366976286,234.41813224934782,367.8282428550452
25020230,651.7225724272175,528.7503504272343,504.0348243740885,599.5846643078879
25020240,641.3664038742464,776.7795119957852,302.56807498478753,514.8492250894075
25020250,434.5067222541997,417.4548698162872,288.94515490911857,356.09456939546436
25020260,892.1960503298353,1191.7916914869963,436.40246812067664,581.4223488243449
25020270,592.7861681204973,584.3448622833292,356.88453110978986,444.4482760292355
25020280,603.5135569723992,722.810231150895,553.5088856969277,538.9390298922285
25020650,1219.3721959822171,529.6818721091232,775.0358421037407,1686.8751377791766
25020660,509.80404375166705,620.4204580311563,277.5574970737021,380.77994451361377
25020670,692.550682501948,860.7829610451412,527.5901978895087,552.353700501333
25020690,854.2580132317939,932.967011330395,703.5925344583003,807.673409535431
25020870,543.8872985882474,783.5116006373698,266.18460272388546,291.10480475756697
25020880,739.5337217490145,993.5151017008711,455.7209273627487,497.1918813980218
25020890,602.6795804439439,729.2349345331652,403.2513765968725,476.00227648848715
25020900,454.30148590855663,490.5435974769633,436.8020521097316,410.823500777219
25020920,1062.8271091850183,1012.9165879926982,629.6651821693523,1297.3051608089124
25021040,605.001148135327,640.1067463061662,474.116484536333,438.8816721215219
25021090,830.521482442851,1059.5202027332937,439.8087307414027,710.6593719965537
25021200,950.5503971582712,1268.6628177953394,431.47282649084633,752.486242399155
25021240,607.6211347328068,533.5121296052204,479.0429398100114,618.1868444679187
25021320,758.8000833158796,766.9741870426564,781.4698925160783,707.6104771131229
25021380,683.7707255138133,804.1794445112104,383.1827304421363,586.8789388697544
25021500,301.5579251363551,424.74015752016714,209.27090967538618,216.53343241389118
25021540,655.129001708221,897.2952909888525,288.3171596444696,465.69820573363756
25021580,882.4322628766593,919.6299913691598,817.4223222478639,939.1096797436577
25021590,847.0658888048622,946.6003427922257,717.2256539801632,884.8408901874462
25021620,521.1923885892281,526.3151836723908,335.7282992377779,576.9540619279522
25021630,460.0272744843007,507.9703360509276,248.64824259474375,531.4320362783999
25021640,843.6701031952903,764.3390384961576,634.4649893629062,921.9056145420652
25021650,742.8644137319507,603.460228651485,636.8746404406157,651.0000578295809
25025090,703.3602818554328,831.0649264185543,441.9703887654178,571.3361782080771
25025250,597.1377478205859,759.0642599735747,411.83030265124756,559.8613693952964
25025300,449.6288496516037,474.34862679635717,261.5600212709747,479.1249269117975
25025330,878.736673509476,906.6259421472337,866.751311927056,841.9945474533528
28010020,522.9391965152664,549.2122638554521,421.20664006680096,515.9836487250676
28010040,518.6239151279324,435.44855329200783,452.6099279833474,610.3913271994136
28010070,609.4154563544234,560.3094787017947,514.5233874002407,635.7286530384781
28010090,411.9185157925404,465.1985911745319,327.9955986400926,420.2859474774987
28010130,1273.7431105746375,1318.4213024557932,1421.4254369214282,1215.2350618121238
28010140,882.1148925598967,988.6961897575137,695.3724965147031,938.3656935178533
28010200,406.3470110740658,292.83432701260125,380.86063950908965,435.8460764455052
28010280,113.7759172654455,0.0,0.0,173.4138953053282
28010340,370.2919227901463,304.9098895890896,263.3154565086593,433.7913027932729
28010360,1130.1871530877734,1110.8724637730609,884.6423575249337,1227.4112997250802
28010370,353.58483336313606,335.6559784920207,304.52937162418044,333.4149829901964
28015070,275.1120997262672,268.94230531796893,313.0152267571311,199.61035418217168
28020080,507.10932124481775,516.5984861548047,426.7152478260798,464.28921489235506
28020150,603.0991949400052,656.5495079658931,473.2446417119701,540.3865687568581
28020230,840.2779895909097,967.9096088465265,759.0651821334401,824.0494641579988
28020310,1196.5347627902925,1455.6162501030633,973.8396395897857,1163.3843318924364
28020410,459.7556914795632,508.60474729829156,436.72777874469205,452.4133193617842
28020420,684.2249686920591,728.4541236456901,569.3488944718903,587.2153517075704
28020440,408.17218079552833,457.0888619210795,309.6613613728273,288.7226869633217
