Station,AggComposite,AggNina,AggNino,AggNeutral
15015020,482.53333333333336,609.5923076923077,340.76363636363635,477.4055555555555
15060050,1019.8095238095239,1246.1692307692306,845.1636363636363,963.0555555555555
15060070,951.7119047619046,1060.8461538461538,706.6272727272727,1022.6666666666666
15060080,1182.9,1365.1923076923076,945.6272727272727,1196.2444444444445
15060150,865.5142857142857,1066.7,617.8090909090909,871.588888888889
15065040,378.9690476190476,292.53846153846155,334.3363636363636,468.6666666666667
16050240,1390.3523809523808,1840.6846153846154,1085.2727272727273,1251.5500000000002
16060010,3652.1333333333328,3916.707692307692,3342.0454545454545,3650.5499999999997
16070010,4270.445238095238,4392.153846153846,4073.7272727272725,4302.761111111111
16070020,1443.0714285714287,1663.5384615384614,1572.8181818181818,1204.5555555555557
16070030,2875.8380952380953,3203.230769230769,2521.836363636364,2855.722222222222
16070040,3976.014285714286,4099.5,3472.7636363636366,4194.372222222222
23210020,1129.240476190476,1368.1615384615384,801.0636363636364,1157.2388888888888
23215050,2600.1023809523813,2941.084615384615,2265.9727272727273,2558.027777777778
23215060,473.61428571428576,500.45384615384614,493.54545454545456,442.04999999999995
25020090,1945.4785714285715,2281.523076923077,1452.1818181818182,2004.238888888889
25020220,1508.6261904761905,1695.8692307692306,1347.6454545454546,1471.7722222222224
25020230,1893.0071428571425,2356.984615384615,1408.5727272727272,1853.9555555555553
25020240,1630.3809523809523,2009.076923076923,1169.3999999999999,1638.5888888888887
25020250,1702.1380952380953,2022.0,1355.4363636363635,1683.0
25020260,2615.959523809524,3144.4615384615386,1990.0272727272727,2616.777777777778
25020270,2008.1285714285714,2445.7846153846153,1470.0363636363636,2020.877777777778
25020280,1412.5142857142857,1563.976923076923,1230.5636363636365,1414.3166666666666
25020650,1621.0285714285717,1701.5307692307692,1167.2636363636366,1840.1888888888886
25020660,1860.045238095238,2093.7846153846153,1438.9727272727273,1948.5555555555557
25020670,1620.5595238095239,1987.5538461538458,1333.209090909091,1531.111111111111
25020690,1840.3000000000002,2135.0615384615385,1389.5636363636365,1902.866666666667
25020870,1842.909523809524,2134.6,1473.3545454545454,1858.0833333333333
25020880,2261.002380952381,2581.869230769231,1752.1818181818182,2340.211111111111
25020890,1791.945238095238,2133.3846153846152,1421.4545454545455,1771.7611111111112
25020900,1538.554761904762,1638.4461538461537,1308.3454545454545,1607.0944444444444
25020920,1384.947619047619,1399.6384615384616,1095.1181818181817,1551.4555555555555
25021040,1938.561904761905,2331.4,1456.1909090909091,1949.627777777778
25021090,1786.452380952381,2179.4,1331.0181818181818,1780.9777777777776
25021200,2191.4380952380952,2727.8230769230768,1735.0,2082.983333333333
25021240,2038.8833333333332,2329.8076923076924,1633.8272727272727,2076.3055555555557
25021320,1880.445238095238,2187.1769230769232,1648.690909090909,1800.5444444444445
25021380,1898.9928571428575,2315.4307692307693,1497.190909090909,1843.7777777777778
25021500,1162.2214285714285,1186.8153846153846,1017.4181818181819,1232.9499999999998
25021540,2082.3880952380955,2337.7615384615387,1616.4363636363635,2182.7
25021580,647.0595238095239,573.7538461538462,689.9909090909091,673.7666666666667
25021590,669.5380952380953,584.2692307692307,642.8545454545455,747.4277777777777
25021620,1294.357142857143,1510.8384615384616,1106.909090909091,1252.5611111111111
25021630,1216.654761904762,1309.069230769231,1176.4636363636364,1174.4722222222222
25021640,1532.7880952380951,1868.1076923076923,1083.7454545454545,1565.0277777777778
25021650,1391.3809523809523,1998.3384615384616,1061.581818181818,1154.5666666666666
25025090,1829.797619047619,2240.8230769230768,1373.4636363636364,1811.8166666666666
25025250,1464.1190476190475,1631.4923076923076,1296.0727272727272,1445.9333333333334
25025300,1241.7,1397.4153846153847,996.4454545454545,1279.1166666666668
25025330,1327.9238095238095,1643.1307692307694,1044.0545454545454,1273.7500000000002
28010020,672.6333333333333,934.6076923076923,552.7181818181817,556.7111111111111
28010040,1801.5047619047618,1874.4615384615388,1645.409090909091,1844.2055555555553
28010070,1196.509523809524,1496.8769230769233,944.7727272727273,1133.4166666666667
28010090,1045.4309523809522,1145.3615384615384,928.1454545454545,1044.9333333333334
28010130,670.1404761904762,652.3076923076923,817.5454545454545,592.9388888888889
28010140,796.2785714285714,919.4692307692308,672.709090909091,782.8222222222222
28010200,924.1690476190475,1150.7153846153847,749.5454545454545,867.2666666666667
28010280,18.666666666666668,0.0,0.0,43.55555555555556
28010340,1166.1857142857143,1294.8076923076924,977.9181818181819,1188.3444444444444
28010360,1929.2404761904763,2115.507692307692,1403.1545454545453,2116.211111111111
28010370,1292.7309523809522,1504.4615384615386,1118.0727272727272,1246.5500000000002
28015070,1164.6880952380952,1286.5230769230768,980.2727272727275,1189.3944444444444
28020080,1291.4857142857143,1566.4384615384615,1012.0545454545455,1263.6722222222222
28020150,1114.6357142857141,1470.3846153846155,862.0909090909091,1012.0388888888889
28020230,796.6142857142858,940.0615384615384,704.8454545454546,749.0944444444444
28020310,1205.1738095238095,1407.6615384615384,1137.2181818181818,1100.461111111111
28020410,1165.7690476190478,1205.3692307692306,1238.7454545454545,1092.572222222222
28020420,1307.2619047619048,1556.076923076923,815.8181818181819,1427.888888888889
28020440,1491.590476190476,1728.1461538461538,1160.9454545454546,1522.8055555555557
28020460,1523.895238095238,1680.4153846153847,1210.8636363636363,1602.15
28020590,1105.357142857143,1155.1615384615384,924.6090909090909,1179.8444444444442
28020600,1250.2785714285715,1456.3461538461538,1168.8363636363638,1151.2222222222222
28025020,1303.0214285714287,1398.930769230769,1125.8000000000002,1342.0555555555557
28025040,393.33809523809515,428.5615384615384,400.00909090909096,363.82222222222225
28025070,1578.654761904762,1810.3307692307692,1270.6545454545453,1599.5555555555557
28025080,1055.5261904761905,1467.1692307692306,858.2909090909092,878.761111111111
28025090,1474.202380952381,1748.8923076923072,1215.7272727272727,1433.7722222222221
28030190,1119.7809523809524,1356.323076923077,942.0272727272727,1057.5722222222223
28030220,814.147619047619,1091.276923076923,661.3454545454545,707.3777777777777
28035010,1219.3690476190477,1470.3153846153848,928.8545454545455,1215.6666666666665
28035020,1111.3500000000001,1270.8769230769233,958.0272727272727,1089.8333333333335
28035040,1255.0738095238096,1411.9538461538464,1119.209090909091,1224.8
28040010,2140.5190476190473,2353.8076923076924,1687.9818181818182,2263.027777777778
28040030,1380.445238095238,1666.3461538461538,1166.0454545454545,1304.9833333333333
28040060,351.3119047619047,229.6307692307692,363.40000000000003,431.80555555555554
28040070,1312.1571428571428,1444.0923076923077,1089.3363636363638,1353.038888888889
28040100,1695.5428571428572,1915.5384615384614,1501.4454545454546,1655.2722222222224
28040140,1110.6690476190477,1391.3307692307694,938.1636363636363,1013.3888888888889
28040150,1287.6833333333334,1605.8076923076924,973.1272727272728,1250.1555555555556
28040170,290.7404761904762,109.72307692307693,367.8363636363636,374.3611111111111
28040200,430.7523809523809,305.3538461538461,543.5090909090909,452.4111111111111
28040270,1238.604761904762,1377.1923076923076,1117.6,1212.461111111111
28040300,1311.952380952381,1365.5,1195.5272727272727,1344.427777777778
28040310,972.395238095238,1041.3846153846155,916.4545454545455,956.7555555555555
28040320,1442.6309523809523,1524.7692307692307,1244.1818181818182,1504.5833333333333
28040350,1326.4309523809522,1545.6615384615384,1115.5545454545454,1296.9666666666665
28040360,1494.1261904761905,1665.1538461538462,1394.0,1431.7944444444445
28040400,881.6142857142858,1131.6307692307694,626.7727272727273,856.7833333333333
28045010,704.6238095238094,688.2230769230771,816.4363636363636,648.1388888888889
29060030,1343.5452380952381,1637.6923076923076,1084.4545454545455,1289.4388888888889
29060040,1419.0904761904762,1760.007692307692,1068.0545454545454,1387.3944444444446
29060060,2511.7404761904763,3158.730769230769,1975.5090909090907,2372.1666666666665
29060070,2380.7285714285713,2549.846153846154,2173.509090909091,2385.222222222222
29060090,1307.4166666666667,1305.1692307692308,1270.8272727272727,1331.4
29060100,1566.7380952380952,1727.0,1383.8181818181818,1562.7777777777778
29060120,371.8071428571429,554.876923076923,251.02727272727273,313.40000000000003
29060140,1578.2452380952382,2177.669230769231,1102.3363636363638,1436.1611111111113
29060150,1566.5571428571427,1857.3076923076924,1341.8181818181818,1493.9111111111113
29060160,976.2071428571429,1257.0692307692307,766.6363636363636,901.4333333333333
29060170,946.7000000000002,1105.9615384615386,712.2454545454545,974.9555555555556
29060180,1387.5,1841.6538461538462,929.6818181818181,1339.2777777777778
29060190,1068.9238095238095,1276.7692307692307,824.4545454545455,1068.211111111111
29060200,1367.1047619047617,1610.423076923077,1051.3454545454545,1384.3388888888887
29060210,839.9047619047619,1095.2307692307693,623.8727272727273,787.5222222222224
29060220,703.645238095238,1010.3076923076923,511.82727272727277,599.3888888888889
29060230,891.1190476190476,1073.4769230769232,852.0,783.3222222222222
29060240,1109.2142857142858,1609.923076923077,720.1818181818181,985.3333333333334
29060250,985.5190476190477,1287.0153846153844,671.3636363636365,959.7555555555555
29060270,1037.3833333333332,1314.6923076923076,722.1818181818181,1029.7277777777779
29060280,804.7261904761905,941.4692307692306,623.5999999999999,816.6555555555556
29060290,613.9595238095238,871.3,432.05454545454546,539.2666666666667
29060310,957.5238095238095,1473.0,598.7272727272727,804.5
29060330,790.9690476190475,1106.8692307692306,614.7272727272727,670.5222222222222
29060340,2248.7809523809524,2331.0,2083.2818181818184,2290.538888888889
29060350,1180.3190476190478,1366.5000000000002,946.4363636363637,1188.7833333333335
29060550,836.5357142857143,1200.9846153846154,589.9090909090909,724.0388888888889
29060560,1028.088095238095,1286.1999999999998,808.4545454545455,975.8944444444444
29065010,271.73809523809524,273.84615384615387,287.56363636363636,260.5444444444445
29065020,1191.0523809523809,1500.792307692308,867.0090909090911,1165.3777777777777
29065030,1187.0238095238096,1522.323076923077,897.7272727272727,1121.6555555555556
