Station,StdAggComposite,StdAggNina,StdAggNino,StdAggNeutral
15015020,0.37980502512592434,0.40566023094645814,0.31839255860564064,0.3649130080508604
15065040,0.3664443734217156,0.4194738797203386,0.2806339661695819,0.33833496424742293
23215060,0.4743904685666091,0.4533983674084887,0.41505787465740945,0.388816993550399
25025002,0.538011696899059,0.48246562732385045,0.4794761896709396,0.4051863455805721
25025090,0.6427848325398957,0.514500862754082,0.6440659533434643,0.6196371066289749
25025250,0.6741718597365804,0.7141961223021873,0.5490426736406725,0.6282976164431439
25025300,0.8164635652985259,0.9166011659776138,0.7618419718558053,0.6567570558286222
25025330,0.6595690326166513,0.5682857528271006,0.6971235686492068,0.6115497164122973
28015030,0.6359758092219905,0.6458830099765553,0.6264094583563039,0.4899912488480445
28015070,0.775112591417738,0.7773284692849316,0.8007640193325865,0.5997606060590397
28025020,0.562799062086133,0.49942471499874364,0.5553021797443704,0.4841948524857883
28025040,0.4793668516592014,0.4605269545563493,0.552645613509191,0.38890515753503
28025070,0.7240317823736411,0.7482575405087996,0.5466040074846618,0.5352686433417903
28025080,0.7055533096739037,0.8651291092957667,0.8251579971048235,0.47028189623842814
28025090,0.7056094429418082,0.5658264752204942,0.6564820596471077,0.7018138134783449
28025502,0.6861670283169267,0.6445476711581517,0.643553368745871,0.5950977447215605
28035010,0.8003818280174743,0.7906846203563052,0.7194166395750061,0.7136934621389744
28035020,0.6326570132312141,0.5648187031646454,0.6936064112609038,0.5206109350116802
28035040,0.8612387332893126,1.0129181468377726,0.657993214163391,0.8688654776942845
28035070,0.8003818209750941,0.7906846134949708,0.7194166314517761,0.7136934544032333
28045020,0.5875870815304908,0.5342608070223521,0.523001723039082,0.4982144411136762
28045040,0.5593385354472893,0.4740087816337728,0.5180989269188387,0.5365462816571649
29065010,0.20677839943749643,0.21556601045866128,0.16505774662942777,0.14774495962601333
29065020,0.6943439876764601,0.7068209610021358,0.8893031877984264,0.5422407409845575
29065030,0.5148123031194907,0.5601920796540523,0.528057603349875,0.47387056926966364
