Station,AggComposite,AggNina,AggNino,AggNeutral
15015020,22.183602479010027,21.837993532071366,22.562440352999065,22.189739212128156
15065040,22.760902057548574,22.739758315715093,22.99294610159738,22.603675702876796
23215060,23.768833021163527,23.770900553060116,23.98257483497663,23.55302367545383
25025002,22.88312065585706,22.659870030435425,22.96522898649154,23.04350576195744
25025090,23.447352340332806,23.184357745851766,23.55609845495826,23.55055427240663
25025250,22.526497534488144,22.366128265020837,22.79150724009365,22.468222503426198
25025300,22.999816764635305,22.76257140404628,22.989495752628063,23.226750964329778
25025330,22.78005783909188,22.719445241659955,22.924361853525603,22.747205458608295
28015030,23.01227855872249,22.694357780193748,23.39248766272857,22.806601925350115
28015070,22.332523743764334,22.109728717413248,22.46453344305308,22.427426413151306
28025020,20.483991576610855,20.516257321727803,20.63747861892973,20.366890901498195
28025040,18.725838073909994,18.450498545638283,20.01269264289153,18.05149471343678
28025070,23.80922789244883,23.782683930222788,23.991140465437557,23.717229737230085
28025080,21.72197868742166,22.101306605851114,21.70766876947508,21.38754233826512
28025090,22.30939502295086,22.174649913785892,22.67078663218179,22.19300566837807
28025502,23.85669285300012,23.686153047088723,24.16486476264946,23.777668539164463
28035010,23.263237073011176,23.02603858200383,23.49312198082579,23.281492033183802
28035020,22.52462002763608,22.631843419619994,22.467702775351736,22.47663163259463
28035040,24.228187313745373,24.206052203705042,24.237164620377474,24.239305317131922
28035070,23.269032258064517,,,23.269032258064517
28045020,21.18614326228983,21.332659337454754,21.10462429003752,21.194404196959674
28045040,23.19743549101766,22.99968495361599,23.213361067851277,23.371297663168914
29065010,20.843082652180456,,20.282110296774945,21.40405500758597
29065020,22.34519275478025,22.141742796626133,22.279158316224553,22.54350030066943
29065030,21.76627602127706,21.348136540579098,21.662305369461134,22.135294031545126
