Station,AggComposite,AggNina,AggNino,AggNeutral
15015020,706.0380940217246,901.9370636294464,499.40453059136286,690.8315714013689
15060050,1055.3489365112273,1246.1692307692306,899.0355561448978,1013.0591231043147
15060070,1205.7929354787889,1242.3026740034588,964.9598757053984,1326.6005497391548
15060080,1180.8297410505745,1358.5037787787792,945.6272727272727,1196.2444444444445
15060150,865.5142857142857,1066.7,617.8090909090909,871.588888888889
15065040,793.6443943732536,869.4293010668339,688.5900547341928,803.1107248739826
16050240,2099.1936552447455,2296.83386002873,1754.180389873489,2167.294947294302
16060010,3652.1333333333328,3916.707692307692,3342.0454545454545,3650.5499999999997
16070010,4880.693403639882,5136.788164583384,4590.447410725376,4873.1086275173275
16070020,4933.6190589182615,5420.688465968686,4426.869174686926,4891.527194189884
16070030,4765.504172833216,5097.310929351482,4459.449768938052,4712.899206617069
16070040,4278.696459103993,4515.2252711683095,3988.191726777163,4285.400764590605
23210020,1835.1537164838776,1971.4991560916021,1530.0057556330287,1923.1613195093732
23215050,2817.195599940276,3162.346604909559,2349.6070783157775,2853.6684151218765
23215060,1721.0840912377514,1878.1901002036584,1532.3875470429434,1722.9331951036454
25020090,1958.003158305333,2318.0985054691696,1462.412904601708,2000.795007061444
25020220,1513.8493888611936,1695.8692307692306,1347.6454545454546,1483.9596851205627
25020230,1977.3963367218637,2401.4914880725564,1470.4040742405164,1980.9339989294085
25020240,1640.5537400528085,2009.076923076923,1195.7366710658407,1646.2307611385388
25020250,1714.0699458087558,2040.0155268360286,1355.4363636363635,1697.8297708388534
25020260,2674.784729329863,3294.539833069413,1990.0272727272727,2645.6467112195483
25020270,2033.0625061727676,2445.7846153846153,1483.522730964146,2070.8152899250354
25020280,1526.9458658752465,1676.0586625965148,1337.5519557296925,1534.9940133321695
25020650,1854.6031144754056,1802.37428365312,1422.2109582200358,2156.5635877808927
25020660,1862.6517036838836,2093.7846153846153,1438.9727272727273,1954.637308595728
25020670,1778.6804990481874,2243.879834307665,1450.6542238136963,1643.1637028929758
25020690,1840.3000000000002,2135.0615384615385,1389.5636363636365,1902.866666666667
25020870,1874.4588215512163,2236.528500396237,1473.3545454545454,1858.0833333333333
25020880,2356.3182825783683,2829.526887460976,1823.428939208981,2340.211111111111
25020890,1902.6604796116512,2324.194043670049,1470.4262492737143,1862.362712998215
25020900,1590.5815844679614,1803.6473909827228,1311.7554968071806,1607.0944444444444
25020920,1647.9035873317912,1655.0281923743812,1248.9317370194437,1886.5741699919101
25021040,1939.5418286068996,2331.4,1459.9324364990714,1949.627777777778
25021090,1924.233405456734,2398.632785485478,1423.1193551787424,1887.8479950503029
25021200,2312.334729485921,2881.1838078735236,1735.0,2254.3149520029374
25021240,2038.8833333333332,2329.8076923076924,1633.8272727272727,2076.3055555555557
25021320,1939.4623522708405,2297.45273017816,1719.473602410688,1815.3513153634253
25021380,2036.3603853984266,2503.89219290125,1535.9565169550663,2004.5008884728854
25021500,1190.973091729998,1279.7053732815325,1017.4181818181819,1232.9499999999998
25021540,2171.84357140744,2568.156913160586,1685.7081934568048,2182.7
25021580,1825.1057123373994,2077.0457419712234,1501.8618602387126,1840.6869338843908
25021590,1693.5318343487577,2030.2480544548855,1331.6849726496928,1671.4765353104276
25021620,1402.8021260479484,1574.1892924244676,1176.2920522694146,1417.4453287517888
25021630,1335.2514043519288,1417.0687712827107,1252.408242359419,1326.787460564009
25021640,1746.4302595404754,1868.1076923076923,1378.7367367309553,1883.2537109255256
25021650,1583.4745255736143,1983.4030684452978,1318.7096857426286,1456.4379800630004
25025090,1965.6873653834114,2453.325792270387,1442.2258196835617,1933.3972238927263
25025250,1653.3310290674792,1928.193512974097,1324.3883514087852,1655.83976037079
25025300,1317.359427883965,1465.8850578656443,1067.838232711474,1362.576092169274
25025330,2043.0879132018817,2320.3689031420104,1816.257407355702,1981.4480629288992
28010020,922.5952588241371,1066.3663840232146,782.0742598304168,904.634501120966
28010040,1815.7017108260115,1909.0706550285283,1648.1499441086444,1850.6613307848077
28010070,1397.1249238598386,1597.8163828776435,1175.810621962905,1387.4287212839947
28010090,1109.3922788524733,1230.5240950975015,960.3707206189806,1112.9769193737538
28010130,2746.9851009725076,3142.206471592766,2372.454628417014,2690.4271776417886
28010140,1603.2875146918786,1891.5663535947342,1231.3095863726703,1622.4059761237775
28010200,998.5828348864075,1153.9939523720718,836.0648855707431,985.6579968396668
28010280,840.5697186703471,999.399376364905,688.5080734006123,818.7859713335599
28010340,1188.92512639399,1294.8076923076924,977.9181818181819,1241.4030726970877
28010360,2043.1389849399432,2115.507692307692,1572.9687464218116,2278.1989531576482
28010370,1305.5856963548656,1504.4615384615386,1118.0727272727272,1276.5444026057976
28015070,1183.2976743817712,1307.5399344779012,1026.4893796201536,1189.3944444444444
28020080,1373.1457074391915,1571.2712076964854,1171.200688684634,1353.4659131589306
28020150,1336.8403569093346,1576.9573837948187,1092.2603122093374,1312.8880870309274
28020230,1521.0128606766307,1731.4954704855322,1246.4672846752658,1536.7754944821472
28020310,2219.1871779697,2656.750782412283,1826.830111368294,2142.9427821286936
28020410,1297.731440455614,1330.1988904670632,1273.7594298158863,1288.932288616067
28020420,1455.4693996596814,1679.2683678620383,1204.3809371721873,1447.2797608114477
28020440,1516.5998987552198,1761.677431443832,1203.8062525510504,1530.7511311604374
